symbol,name
MPMX.JK,PT Mitra Pinasthika Mustika Tbk
MPOW.JK,PT Megapower Makmur Tbk
MPPA.JK,PT Matahari Putra Prima Tbk
MPRO.JK,PT Maha Properti Indonesia Tbk
MPXL.JK,PT MPX Logistics International Tbk
MRAT.JK,PT Mustika Ratu Tbk
MREI.JK,PT Maskapai Reasuransi Indonesia Tbk
MSIE.JK,PT Multisarana Intan Eduka Tbk
MSIN.JK,PT MNC Digital Entertainment Tbk
MSJA.JK,Multi Spunindo Jaya Tbk.
MSKY.JK,PT MNC Sky Vision Tbk
MSTI.JK,Mastersystem Infotama Tbk.
MTDL.JK,PT Metrodata Electronics Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk.
MTFN.JK,PT Capitalinc Investment Tbk
MTLA.JK,PT Metropolitan Land Tbk
MTMH.JK,PT Murni Sadar Tbk
MTWI.JK,PT Malacca Trust Wuwungan Insurance Tbk
MUTU.JK,PT Mutuagung Lestari Tbk
MYOH.JK,PT Samindo Resources Tbk
MYOR.JK,PT Mayora Indah Tbk
MYTX.JK,Asia Pacific Investama Tbk.
NAIK.JK,Adiwarna Anugerah Abadi Tbk.
NANO.JK,PT Nanotech Indonesia Global Tbk
NASA.JK,PT Andalan Perkasa Abadi Tbk
NASI.JK,PT Wahana Inti Makmur Tbk
NATO.JK,PT Surya Permata Andalan Tbk
NAYZ.JK,PT Hassana Boga Sejahtera Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk
NELY.JK,PT Pelayaran Nelly Dwi Putri Tbk
NEST.JK,Esta Indonesia Tbk.
NETV.JK,PT MDTV Media Technologies Tbk
NFCX.JK,PT NFC Indonesia Tbk
NICE.JK,Adhi Kartiko Pratama Tbk.
NICK.JK,PT Charnic Capital Tbk
NICL.JK,PT PAM Mineral Tbk
NIKL.JK,PT Pelat Timah Nusantara Tbk
NINE.JK,PT Techno9 Indonesia Tbk
NIRO.JK,PT City Retail Developments Tbk
NISP.JK,PT Bank OCBC NISP Tbk
NOBU.JK,PT Bank Nationalnobu Tbk
NPGF.JK,PT Nusa Palapa Gemilang Tbk
NRCA.JK,PT Nusa Raya Cipta Tbk
NSSS.JK,PT Nusantara Sawit Sejahtera Tbk
NTBK.JK,PT Nusatama Berkah Tbk
NZIA.JK,PT Nusantara Almazia Tbk
OASA.JK,PT Maharaksa Biru Energi Tbk
OBAT.JK,Brigit Biofarmaka Teknologi Tbk
OBMD.JK,PT OBM Drilchem Tbk
OILS.JK,PT Indo Oil Perkasa Tbk
OKAS.JK,PT Ancora Indonesia Resources Tbk
OLIV.JK,PT Oscar Mitra Sukses Sejahtera Tbk
OMED.JK,PT Jayamas Medica Industri Tbk
OMRE.JK,PT Indonesia Prima Property Tbk
OPMS.JK,PT Optima Prima Metal Sinergi Tbk
PACK.JK,PT Abadi Nusantara Hijau Investama Tbk
PADA.JK,PT Personel Alih Daya Tbk
PADI.JK,PT Minna Padi Investama Sekuritas Tbk
PALM.JK,PT Provident Investasi Bersama Tbk
PAMG.JK,PT Bima Sakti Pertiwi Tbk
PANI.JK,PT Pantai Indah Kapuk Dua Tbk
PANR.JK,PT Panorama Sentrawisata Tbk
PANS.JK,PT Panin Sekuritas Tbk
PART.JK,Cipta Perdana Lancar Tbk.
PBID.JK,PT Panca Budi Idaman Tbk
PBRX.JK,PT Pan Brothers Tbk
PBSA.JK,PT Paramita Bangun Sarana Tbk
PCAR.JK,PT Prima Cakrawala Abadi Tbk
PDES.JK,PT Destinasi Tirta Nusantara Tbk
PDPP.JK,PT Primadaya Plastisindo Tbk
PEGE.JK,PT Panca Global Kapital Tbk
PEHA.JK,PT Phapros Tbk
PEVE.JK,PT. Penta Valent Tbk
PGAS.JK,PT Perusahaan Gas Negara (Persero) Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
PGJO.JK,PT Bahtera Bumi Raya Tbk
PGLI.JK,PT Pembangunan Graha Lestari Indah Tbk
PGUN.JK,PT Pradiksi Gunatama Tbk
PICO.JK,PT Pelangi Indah Canindo Tbk
PIPA.JK,PT. Multi Makmur Lemindo
PJAA.JK,PT Pembangunan Jaya Ancol Tbk
PJHB.JK,Pelayaran Jaya Hidup Baru Tbk.
PKPK.JK,PT Paragon Karya Perkasa Tbk
PLAN.JK,PT Planet Properindo Jaya Tbk
PMJS.JK,PT Putra Mandiri Jembar Tbk
PMUI.JK,Prima Multi Usaha Indonesia Tbk
PNBN.JK,PT Bank Pan Indonesia Tbk
PNBS.JK,PT Bank Panin Dubai Syariah Tbk
PNGO.JK,PT PINAGO UTAMA Tbk
PNIN.JK,PT Paninvest Tbk
PNLF.JK,PT Panin Financial Tbk
PNSE.JK,PT Pudjiadi and Sons Tbk
POLA.JK,PT Pool Advista Finance Tbk
POLI.JK,PT Pollux Hotels Group Tbk
POLU.JK,PT Golden Flower Tbk
PORT.JK,PT Nusantara Pelabuhan Handal Tbk
POWR.JK,PT Cikarang Listrindo Tbk
PPGL.JK,PT Prima Globalindo Logistik Tbk
PPRE.JK,PT PP Presisi Tbk
PPRI.JK,PT Paperocks Indonesia Tbk
PPRO.JK,PT Pembangunan Perumahan Properti Tbk
PRAY.JK,PT Famon Awal Bros Sedaya Tbk
PRDA.JK,PT Prodia Widyahusada Tbk
PRIM.JK,PT Royal Prima Tbk
PSAB.JK,PT J Resources Asia Pasifik Tbk
PSAT.JK,Pancaran Samudera Transport Tbk
PSDN.JK,PT Prasidha Aneka Niaga Tbk
PSGO.JK,PT Palma Serasih Tbk
PSKT.JK,PT Red Planet Indonesia Tbk
PSSI.JK,PT IMC Pelita Logistik Tbk
PTBA.JK,PT Bukit Asam (Persero) Tbk
PTIS.JK,PT Indo Straits Tbk
PTMP.JK,PT Mitra Pack Tbk
PTPP.JK,PT PP (Persero) Tbk
PTPS.JK,PT Pulau Subur Tbk
PTPW.JK,PT Pratama Widya Tbk
PTRO.JK,PT Petrosea Tbk
PTSN.JK,PT Sat Nusapersada Tbk
PTSP.JK,PT Pioneerindo Gourmet International Tbk
PUDP.JK,PT Pudjiadi Prestige Tbk
PURA.JK,PT Putra Rajawali Kencana Tbk
PURI.JK,PT Puri Global Sukses Tbk
PWON.JK,PT Pakuwon Jati Tbk
PYFA.JK,PT Pyridam Farma Tbk
PZZA.JK,PT Sarimelati Kencana Tbk
RAAM.JK,PT Tripar Multivision Plus Tbk
RAJA.JK,PT Rukun Raharja Tbk
RALS.JK,PT Ramayana Lestari Sentosa Tbk
RANC.JK,PT Supra Boga Lestari Tbk
RATU.JK,Raharja Energi Cepu Tbk.
RBMS.JK,PT Ristia Bintang Mahkotasejati Tbk
RCCC.JK,PT Utama Radar Cahaya Tbk
RDTX.JK,PT Roda Vivatex Tbk
REAL.JK,PT Repower Asia Indonesia Tbk
RELF.JK,PT Graha Mitra Asia Tbk
RELI.JK,PT Reliance Sekuritas Indonesia Tbk
RGAS.JK,Kian Santang Muliatama Tbk.
RICY.JK,PT Ricky Putra Globalindo Tbk
RIGS.JK,PT Rig Tenders Indonesia Tbk
RISE.JK,PT Jaya Sukses Makmur Sentosa Tbk
RLCO.JK,Abadi Lestari Indonesia Tbk.
RMKE.JK,PT RMK Energy Tbk
RMKO.JK,PT Royaltama Mulia Kontraktorindo Tbk
ROCK.JK,PT Rockfields Properti Indonesia Tbk.
RODA.JK,PT Pikko Land Development Tbk
RONY.JK,PT Aesler Grup Internasional Tbk
ROTI.JK,PT Nippon Indosari Corpindo Tbk
RSCH.JK,PT Charlie Hospital Semarang Tbk
RSGK.JK,PT Kedoya Adyaraya Tbk
RUIS.JK,PT Radiant Utama Interinsco Tbk
RUNS.JK,PT Global Sukses Solusi Tbk
SAFE.JK,PT Steady Safe Tbk
SAGE.JK,PT Saptausaha Gemilangindah Tbk
SAME.JK,PT Sarana Meditama Metropolitan Tbk
SAMF.JK,"PT Saraswanti Anugerah Makmur, Tbk"
SAPX.JK,PT Satria Antaran Prima Tbk
SATU.JK,PT Kota Satu Properti Tbk
SBMA.JK,PT Surya Biru Murni Acetylene Tbk
SCCO.JK,PT Supreme Cable Manufacturing & Commerce Tbk
SCMA.JK,PT Surya Citra Media Tbk
SCNP.JK,PT Selaras Citra Nusantara Perkasa Tbk
SDMU.JK,PT Sidomulyo Selaras Tbk
SDPC.JK,PT Millennium Pharmacon International Tbk
SDRA.JK,PT Bank Woori Saudara Indonesia 1906 Tbk
SEMA.JK,PT Semacom Integrated Tbk
SFAN.JK,PT Surya Fajar Capital Tbk
SGER.JK,PT Sumber Global Energy Tbk
SGRO.JK,PT Prime Agri Resources Tbk
SHID.JK,PT Hotel Sahid Jaya International Tbk
SHIP.JK,PT Sillo Maritime Perdana Tbk
SICO.JK,PT Sigma Energy Compressindo Tbk
SIDO.JK,PT Industri Jamu dan Farmasi Sido Muncul Tbk
SILO.JK,PT Siloam International Hospitals Tbk
SIMP.JK,PT Salim Ivomas Pratama Tbk
SINI.JK,PT Singaraja Putra Tbk
SIPD.JK,PT Sreeya Sewu Indonesia Tbk
SKBM.JK,PT Sekar Bumi Tbk
SKLT.JK,PT Sekar Laut Tbk
SKRN.JK,PT Superkrane Mitra Utama Tbk
SLIS.JK,PT Gaya Abadi Sempurna Tbk
SMAR.JK,PT Sinar Mas Agro Resources and Technology Tbk
SMBR.JK,PT Semen Baturaja (Persero) Tbk
SMDM.JK,PT Suryamas Dutamakmur Tbk
SMDR.JK,PT Samudera Indonesia Tbk
SMGA.JK,Sumber Mineral Global Abadi Tbk
SMGR.JK,PT Semen Indonesia (Persero) Tbk
SMIL.JK,PT Sarana Mitra Luas Tbk
SMKL.JK,PT Satyamitra Kemas Lestari Tbk
SMKM.JK,PT Sumber Mas Konstruksi Tbk
SMLE.JK,Sinergi Multi Lestarindo Tbk.
SMMA.JK,PT Sinar Mas Multiartha Tbk
SMMT.JK,PT Golden Eagle Energy Tbk
SMRA.JK,PT Summarecon Agung Tbk
SMSM.JK,PT Selamat Sempurna Tbk
SNLK.JK,PT Sunter Lakeside Hotel Tbk
SOCI.JK,PT Soechi Lines Tbk
SOFA.JK,PT Solusi Environment Asia Tbk
SOHO.JK,PT Soho Global Health Tbk
SOLA.JK,Xolare RCR Energy Tbk.
SONA.JK,PT Sona Topas Tourism Industry Tbk
SOSS.JK,PT Shield On Service Tbk
SOTS.JK,PT Satria Mega Kencana Tbk
SOUL.JK,PT Mitra Tirta Buwana Tbk
SPMA.JK,PT Suparma Tbk
SPRE.JK,Soraya Berjaya Indonesia Tbk.
SPTO.JK,PT Surya Pertiwi Tbk
SQMI.JK,PT Wilton Makmur Indonesia Tbk.
SRAJ.JK,PT Sejahteraraya Anugrahjaya Tbk
SRSN.JK,PT Indo Acidatama Tbk
SRTG.JK,PT Saratoga Investama Sedaya Tbk
SSIA.JK,PT Surya Semesta Internusa Tbk
SSMS.JK,PT Sawit Sumbermas Sarana Tbk.
SSTM.JK,PT Sunson Textile Manufacturer Tbk
STAA.JK,PT Sumber Tani Agung Resources Tbk
STAR.JK,PT Buana Artha Anugerah Tbk
STRK.JK,PT Lovina Beach Brewery Tbk
STTP.JK,PT Siantar Top Tbk
SULI.JK,PT SLJ Global Tbk
SUNI.JK,PT Sunindo Pratama Tbk
SUPA.JK,PT Super Bank Indonesia Tbk
SURE.JK,PT Super Energy Tbk
SURI.JK,Maja Agung Latexindo Tbk.
SWID.JK,PT Saraswanti Indoland Development Tbk
TALF.JK,PT Tunas Alfin Tbk
TAMA.JK,PT Lancartama Sejati Tbk
TAMU.JK,PT Pelayaran Tamarin Samudra Tbk
TAPG.JK,PT Triputra Agro Persada Tbk
TARA.JK,PT Agung Semesta Sejahtera Tbk
TAXI.JK,PT Express Transindo Utama Tbk
TAYS.JK,PT Jaya Swarasa Agung Tbk
TBIG.JK,PT Tower Bersama Infrastructure Tbk
TBLA.JK,PT Tunas Baru Lampung Tbk
TBMS.JK,PT Tembaga Mulia Semanan Tbk
TCID.JK,PT. Mandom Indonesia Tbk
TCPI.JK,PT Transcoal Pacific Tbk
TEBE.JK,PT Dana Brata Luhur Tbk
TFAS.JK,PT Telefast Indonesia Tbk
TFCO.JK,PT Tifico Fiber Indonesia Tbk
TGKA.JK,PT Tigaraksa Satria Tbk
TIFA.JK,PT KDB Tifa Finance Tbk
TINS.JK,PT TIMAH Tbk
TIRA.JK,PT Tira Austenite Tbk
TIRT.JK,PT Tirta Mahakam Resources Tbk
TKIM.JK,PT Pabrik Kertas Tjiwi Kimia Tbk
TLDN.JK,PT Teladan Prima Agro Tbk
TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
TMAS.JK,PT Temas Tbk.
TMPO.JK,PT Tempo Inti Media Tbk
TNCA.JK,PT Trimuda Nuansa Citra Tbk
TOBA.JK,PT TBS Energi Utama Tbk
TOOL.JK,PT Rohartindo Nusantara Luas Tbk
TOSK.JK,Topindo Solusi Komunika Tbk.
TOTL.JK,PT Total Bangun Persada Tbk
TOTO.JK,PT Surya Toto Indonesia Tbk
TOWR.JK,PT Sarana Menara Nusantara Tbk.
TPIA.JK,PT Chandra Asri Pacific Tbk
TPMA.JK,PT Trans Power Marine Tbk
TRGU.JK,PT Cerestar Indonesia Tbk
TRIM.JK,PT Trimegah Sekuritas Indonesia Tbk
TRIN.JK,PT Perintis Triniti Properti Tbk
TRIS.JK,PT Trisula International Tbk
TRJA.JK,PT Transkon Jaya Tbk
TRON.JK,PT Teknologi Karya Digital Nusa Tbk
TRST.JK,PT Trias Sentosa Tbk
TRUE.JK,PT Triniti Dinamik Tbk
TRUK.JK,PT Guna Timur Raya Tbk
TRUS.JK,PT Trust Finance Indonesia Tbk
TSPC.JK,PT Tempo Scan Pacific Tbk
TUGU.JK,PT Asuransi Tugu Pratama Indonesia Tbk
TYRE.JK,PT King Tire Indonesia Tbk
UANG.JK,PT Pakuan Tbk
UCID.JK,PT Uni-Charm Indonesia Tbk
UDNG.JK,Agro Bahari Nusantara Tbk.
UFOE.JK,PT Damai Sejahtera Abadi Tbk
ULTJ.JK,PT Ultrajaya Milk Industry & Trading Company Tbk
UNIC.JK,PT Unggul Indah Cahaya Tbk
UNIQ.JK,PT Ulima Nitra Tbk
UNSP.JK,PT Bakrie Sumatera Plantations Tbk
UNTD.JK,Terang Dunia Internusa Tbk.
UNTR.JK,PT United Tractors Tbk
UNVR.JK,PT Unilever Indonesia Tbk
URBN.JK,PT Urban Jakarta Propertindo Tbk.
UVCR.JK,PT Trimegah Karya Pratama Tbk
VAST.JK,PT Vastland Indonesia Tbk
VERN.JK,Verona Indah Pictures Tbk.
VICI.JK,PT Victoria Care Indonesia Tbk
VICO.JK,PT Victoria Investama Tbk
VINS.JK,PT Victoria Insurance Tbk
VISI.JK,Satu Visi Putra Tbk.
VIVA.JK,PT Visi Media Asia Tbk
VKTR.JK,PT VKTR Teknologi Mobilitas Tbk
VOKS.JK,PT Voksel Electric Tbk
VRNA.JK,PT Mizuho Leasing Indonesia Tbk
VTNY.JK,PT Venteny Fortuna International Tbk
WAPO.JK,PT Wahana Pronatural Tbk
WBSA.JK,BSA Logistics Indonesia Tbk.
WEGE.JK,PT Wijaya Karya Bangunan Gedung Tbk
WEHA.JK,PT WEHA Transportasi Indonesia Tbk
WGSH.JK,PT Wira Global Solusi Tbk
WIDI.JK,PT Widiant Jaya Krenindo Tbk
WIFI.JK,PT Solusi Sinergi Digital Tbk
WIIM.JK,PT Wismilak Inti Makmur Tbk
WINE.JK,PT HATTEN BALI Tbk
WINR.JK,PT Winner Nusantara Jaya Tbk
WINS.JK,PT Wintermar Offshore Marine Tbk
WIRG.JK,PT WIR ASIA Tbk
WMPP.JK,PT Widodo Makmur Perkasa Tbk
WMUU.JK,PT Widodo Makmur Unggas Tbk
WOMF.JK,PT Wahana Ottomitra Multiartha Tbk
WOOD.JK,PT Integra Indocabinet Tbk
WOWS.JK,PT Ginting Jaya Energi Tbk
WSBP.JK,PT Waskita Beton Precast Tbk
WTON.JK,PT Wijaya Karya Beton Tbk
YELO.JK,PT Yelooo Integra Datanet Tbk
YOII.JK,PT Asuransi Digital Bersama TBK
YPAS.JK,PT Yanaprima Hastapersada Tbk
YULE.JK,PT Yulie Sekuritas Indonesia Tbk
YUPI.JK,Yupi Indo Jelly Gum Tbk.
ZATA.JK,PT Bersama Zatta Jaya Tbk
ZONE.JK,PT Mega Perintis Tbk
ZYRX.JK,PT Zyrexindo Mandiri Buana Tbk
